status,spc_latin,spc_common,address,borough,latitude,longitude
Good,prunus serotina,black cherry,79 WINHAM AVENUE,Staten Island,40.56525871,-74.10482543
Good,pyrus calleryana,callery pear,850 BRYANT AVENUE,Bronx,40.81836945,-73.8864649
Fair,zelkova serrata,japanese zelkova,27 PENNSYLVANIA AVENUE,Brooklyn,40.67752886,-73.8971913
Good,quercus palustris,pin oak,227-008 138 AVENUE,Queens,40.67195307,-73.74578188
Good,tilia tomentosa,silver linden,240 EAST 139 STREET,Bronx,40.81206167,-73.92725375
Good,gleditsia triacanthos var. inermis,honeylocust,301 EAST 39 STREET,Manhattan,40.74774731,-73.97305712
Good,tilia cordata,littleleaf linden,351 CITY ISLAND AVENUE,Bronx,40.8484772,-73.7870586
Good,prunus,cherry,119 LIVINGSTON STREET,Brooklyn,40.69125024,-73.98923165
Good,gleditsia triacanthos var. inermis,honeylocust,70-032 72 PLACE,Queens,40.70556105,-73.87877215
Good,tilia cordata,littleleaf linden,1955 WEST 10 STREET,Brooklyn,40.59936999,-73.98184485
Good,pyrus calleryana,callery pear,590 EAST 166 STREET,Bronx,40.82745039,-73.90530161
Good,quercus palustris,pin oak,197-003 MC LAUGHLIN AVENUE,Queens,40.72465584,-73.7684401
Good,quercus imbricaria,shingle oak,95-002 SHORE FRONT PARKWAY,Queens,40.58384174,-73.81620181
Good,liquidambar styraciflua,sweetgum,315 EAST 93 STREET,Manhattan,40.78196188,-73.94753639
Good,styphnolobium japonicum,sophora,607 WEST 190 STREET,Manhattan,40.85528244,-73.93036975
Good,zelkova serrata,japanese zelkova,529 BEDFORD AVENUE,Brooklyn,40.70517387,-73.96240708
Good,syringa reticulata,japanese tree lilac,260 SHORE ROAD,Staten Island,40.50596892,-74.24957508
Fair,acer,maple,29 CITY BOULEVARD,Staten Island,40.63031477,-74.10522672
Fair,tilia cordata,littleleaf linden,168-048 92 ROAD,Queens,40.7058637,-73.79037488
Good,koelreuteria paniculata,golden raintree,2780 SAMPSON AVENUE,Bronx,40.81897531,-73.82220724
